Name,Rating,Votes,Duration,Genre
Y2K,4.8, 14K,1h 31m,Horror
Nosferatu,7.2, 191K,2h 12m,Horror
The Substance,7.3, 295K,2h 21m,Horror
Heretic,7.0, 135K,1h 51m,Horror
Speak No Evil,6.8, 97K,1h 50m,Horror
The Crow,4.7, 34K,1h 51m,Horror
Longlegs,6.6, 184K,1h 41m,Horror
Trap,5.8, 137K,1h 45m,Horror
The Rule of Jenny Pen,6.3, 3.6K,1h 44m,Horror
Smile 2,6.7, 103K,2h 7m,Horror
Alien: Romulus,7.1, 243K,1h 59m,Horror
Presence,6.1, 21K,1h 24m,Horror
Terrifier 3,6.3, 48K,2h 5m,Horror
Oddity,6.7, 42K,1h 38m,Horror
MaXXXine,6.2, 70K,1h 43m,Horror
Abigail,6.6, 96K,1h 49m,Horror
Beetlejuice Beetlejuice,6.7, 147K,1h 45m,Horror
Kinds of Kindness,6.5, 59K,2h 44m,Horror
A Quiet Place: Day One,6.3, 149K,1h 39m,Horror
Cuckoo,5.7, 26K,1h 42m,Horror
The Shrouds,6.0, 1.1K,1h 59m,Horror
Immaculate,5.8, 53K,1h 29m,Horror
Never Let Go,5.4, 15K,1h 41m,Horror
Nightbitch,5.5, 19K,1h 39m,Horror
Hellboy: The Crooked Man,4.5, 13K,1h 39m,Horror
The Watchers,5.7, 57K,1h 42m,Horror
Don't Move,5.8, 39K,1h 32m,Horror
Werewolves,4.4, 6.5K,1h 33m,Horror
Arcadian,5.5, 23K,1h 32m,Horror
Night of the Zoopocalypse,6.1, 599,1h 31m,Horror
Salem's Lot,5.6, 33K,1h 54m,Horror
Apartment 7A,5.9, 16K,1h 47m,Horror
Bagman,4.6, 5.1K,1h 33m,Horror
The First Omen,6.5, 64K,1h 59m,Horror
Parvulos,6.7, 329,1h 59m,Horror
Queen of Bones,5.0, 179,1h 30m,Horror
In a Violent Nature,5.6, 26K,1h 34m,Horror
MadS,6.4, 7.5K,1h 29m,Horror
Azrael,5.4, 11K,1h 26m,Horror
Winnie-the-Pooh: Blood and Honey 2,4.7, 11K,1h 33m,Horror
Time Cut,5.0, 19K,1h 31m,Horror
Sting,5.7, 16K,1h 31m,Horror
Apocalypse Z: The Beginning of the End,6.1, 20K,1h 57m,Horror
Exhuma,6.9, 23K,2h 14m,Horror
Get Away,5.3, 6.7K,1h 26m,Horror
The Mouse Trap,2.4, 3.3K,1h 20m,Horror
Amityville: Where the Echo Lives,1.5, 359,1h 29m,Horror
Die Alone,5.7, 2.9K,1h 31m,Horror
Under Paris,5.2, 36K,1h 44m,Horror
Blood Star,6.0, 3.3K,1h 37m,Horror
Tarot,4.8, 31K,1h 32m,Horror
Your Monster,6.4, 5.7K,1h 43m,Horror
Turno Nocturno,5.3, 454,1h 47m,Horror
The Strangers: Chapter 1,4.6, 22K,1h 31m,Horror
Rumours,5.0, 4.6K,1h 44m,Horror
Afraid,5.2, 14K,1h 24m,Horror
The Deliverance,5.1, 22K,1h 52m,Horror
Dead Talents Society,7.0, 1.8K,1h 51m,Horror
The Damned,5.7, 3.9K,1h 29m,Horror
The Devil's Bath,6.6, 6.2K,2h 1m,Horror
Lisa Frankenstein,6.1, 28K,1h 41m,Horror
Night Swim,4.7, 27K,1h 38m,Horror
The Balconettes,6.1, 865,1h 44m,Horror
Succubus,4.6, 1.2K,1h 43m,Horror
Dead Mail,6.7, 321,1h 46m,Horror
I Don't Understand You,7.0, 82,1h 36m,Horror
Sumala,5.8, 950,1h 52m,Horror
Stream,5.8, 7.9K,2h 3m,Horror
Munkar,5.2, 505,1h 27m,Horror
The Inheritance,4.7, 2.9K,1h 25m,Horror
A Sacrifice,5.0, 5.2K,1h 34m,Horror
The Platform 2,4.9, 40K,1h 39m,Horror
We Bury the Dead,7.2, 107,1h 34m,Horror
Stree 2: Sarkate Ka Aatank,6.9, 42K,2h 27m,Horror
Daddy's Head,5.6, 5K,1h 32m,Horror
Desert Fiends,8.3, 522,1h 46m,Horror
The Exorcism,4.2, 11K,1h 35m,Horror
Sketch,8.3, 50,1h 32m,Horror
Year 10,5.4, 1.9K,1h 36m,Horror
Bloody Axe Wound,4.9, 835,1h 23m,Horror
River of Blood,5.2, 1.8K,1h 26m,Horror
Grafted,5.6, 2.2K,1h 36m,Horror
V/H/S/Beyond,5.8, 9.4K,1h 54m,Horror
Cloud,6.3, 1.1K,2h 4m,Horror
Imaginary,4.7, 17K,1h 44m,Horror
Lowlifes,6.2, 6.4K,1h 30m,Horror
Guna guna istri muda,5.1, 142,1h 38m,Horror
Humane,5.5, 7.2K,1h 33m,Horror
Ghost Game,3.4, 305,1h 26m,Horror
The Beast Within,4.2, 4.5K,1h 37m,Horror
The Front Room,4.6, 5.4K,1h 34m,Horror
Hold Your Breath,5.3, 8.6K,1h 34m,Horror
Things Will Be Different,5.2, 2.5K,1h 42m,Horror
404 Run Run,5.8, 319,1h 44m,Horror
Blackwater Lane,4.6, 1.9K,1h 48m,Horror
Outside,5.1, 4.5K,2h 22m,Horror
Shaitaan,6.5, 54K,2h 12m,Horror
Cinderella's Revenge,3.7, 1.1K,1h 25m,Horror
Monster Awakens,5.3, 435,1h 14m,Horror
Black Cab,4.2, 1.7K,1h 28m,Horror
Munjya,6.3, 25K,2h 3m,Horror
The Dead Thing,4.8, 916,1h 34m,Horror
The Radleys,5.0, 2.8K,1h 55m,Horror
The Corpse Washer,6.2, 1.2K,1h 47m,Horror
Hell Hole,4.4, 1.3K,1h 32m,Horror
Sunrise,3.8, 1.1K,1h 33m,Horror
Territory,4.9, 69,1h 33m,Horror
Shelby Oaks,6.0, 245,1h 39m,Horror
Baby Invasion,4.5, 441,1h 20m,Horror
Spin the Bottle,3.5, 941,2h 4m,Horror
Shell,6.6, 70,1h 40m,Horror
Love Me Dead,6.7, 35,1h 27m,Horror
Something in the Water,4.1, 4.6K,1h 26m,Horror
Lembayung,6.0, 708,2h 3m,Horror
Pedro Páramo,6.3, 2.9K,2h 10m,Horror
Outbreak,4.4, 833,1h 28m,Horror
Little Bites,4.6, 1.2K,1h 45m,Horror
Street Trash,4.5, 836,1h 25m,Horror
Dan Da Dan: First Encounter,8.2, 2.7K,1h 23m,Horror
Swap,2.9, 345,1h 26m,Horror
The Severed Sun,6.7, 42,1h 20m,Horror
Bhool Bhulaiyaa 3,4.6, 77K,2h 38m,Horror
The Vampire Next Door,4.6, 765,1h 50m,Horror
Dark Match,5.4, 945,1h 34m,Horror
The Soul Eater,5.9, 2.6K,1h 48m,Horror
Death Whisperer 2,6.4, 1.4K,1h 50m,Horror
Anaconda,4.9, 635,1h 24m,Horror
You Can't Run Forever,4.5, 4.3K,1h 42m,Horror
Bystanders,3.9, 308,1h 22m,Horror
Rippy,4.1, 842,1h 23m,Horror
Scurry,7.6, 26,1h 30m,Horror
The Wailing,6.1, 1.1K,1h 47m,Horror
Out Come the Wolves,4.7, 1.5K,1h 26m,Horror
Handsome Guys,6.5, 825,1h 41m,Horror
The Curse of the Necklace,4.5, 1K,1h 39m,Horror
Goldilocks and the Three Bears: Death and Porridge,2.0, 1.7K,1h 22m,Horror
House of Spoils,5.0, 3.8K,1h 41m,Horror
Frewaka,6.4, 161,1h 43m,Horror
Ick,5.6, 203,1h 27m,Horror
The Little Mermaid,3.6, 186,1h 29m,Horror
Handling the Undead,5.4, 4.3K,1h 37m,Horror
Mr. Crocket,5.4, 4.5K,1h 28m,Horror
Bramayugam,7.8, 14K,2h 19m,Horror
Tantra,5.1, 2.4K,2h 16m,Horror
Mom,5.2, 187,1h 35m,Horror
Angels Fallen: Warriors of Peace,4.9, 5.8K,1h 43m,Horror
Cinderella's Curse,3.3, 1.3K,1h 22m,Horror
Do Not Enter,5.3, 584,1h 25m,Horror
Saint Catherine,5.8, 82,1h 26m,Horror
Unspeakable: Beyond the Wall of Sleep,6.1, 52,1h 30m,Horror
We Are Wolves,3.5, 263,1h 37m,Horror
Invasive,5.6, 729,1h 37m,Horror
Crescent City,3.9, 1.3K,1h 43m,Horror
Seven Cemeteries,4.6, 567,1h 24m,Horror
Latency,4.2, 2.5K,1h 34m,Horror
Mononoke the Movie: The Phantom in the Rain,6.8, 1.2K,1h 29m,Horror
The Moogai,5.5, 163,1h 26m,Horror
Operation Undead,4.7, 401,1h 50m,Horror
Carved,4.4, 2.7K,1h 35m,Horror
Chime,6.4, 2.3K,45m,Horror
Operation Blood Hunt,3.5, 486,1h 33m,Horror
The Ghost,6.3, 123,1h 32m,Horror
Model House,4.0, 1.1K,1h 25m,Horror
Mutants of Nature Cove,3.6, 151,1h 28m,Horror
Alien Country,4.4, 364,1h 36m,Horror
Butchers Book Two: Raghorn,4.1, 569,1h 28m,Horror
Here After,4.1, 1.3K,1h 33m,Horror
Conjuring the Cult,5.2, 833,1h 33m,Horror
Krazy House,4.8, 1.5K,1h 29m,Horror
Succubus,3.5, 841,1h 36m,Horror
Grave Torture,6.2, 2.9K,1h 57m,Horror
Hide and Seek,4.9, 103,1h 24m,Horror
#AMFAD: All My Friends Are Dead,4.4, 1.2K,1h 31m,Horror
Cellphone,3.0, 712,1h 28m,Horror
Possession: Kerasukan,3.5, 285,1h 34m,Horror
Milk & Serial,6.6, 2.5K,1h 2m,Horror
Crackcoon,3.6, 420,1h 28m,Horror
Drained,4.6, 312,1h 47m,Horror
1978,5.5, 202,1h 16m,Horror
DarkGame,4.6, 2.8K,1h 40m,Horror
Murder Mubarak,5.8, 51K,2h 20m,Horror
Room Service,3.9, 299,47m,Horror
Beezel,4.8, 1.3K,1h 21m,Horror
The Hangman,3.3, 1K,1h 32m,Horror
The Lost Daughter,6.0, 289,1h 39m,Horror
Curse of the Seven Oceans,5.6, 399,1h 34m,Horror
Believer,4.5, 376,1h 48m,Horror
Invader,5.7, 60,1h 10m,Horror
The Killgrin,8.2, 21,1h 23m,Horror
Bloodline Killer,3.8, 4.4K,1h 45m,Horror
Another Cabin in the Woods Movie,4.7, 203,1h 17m,Horror
Thaghut,5.8, 295,1h 42m,Horror
Killer Body Count,4.7, 652,1h 49m,Horror
Are You There?,6.9, 48,1h 28m,Horror
#MissingCouple,5.3, 538,1h 33m,Horror
Lumina,2.1, 668,1h 53m,Horror
The Demon Disorder,4.8, 1.3K,1h 26m,Horror
Terminator: Skynet Rising,6.7, 266,1h 28m,Horror
Shark Girl,2.6, 165,1h 22m,Horror
X Files,2.1, 62,1h 14m,Horror
Pusaka,5.5, 104,1h 30m,Horror
Festival of the Living Dead,4.3, 642,1h 28m,Horror
Slay,6.5, 1.1K,1h 39m,Horror
Drive Back,4.8, 305,1h 34m,Horror
Frankie Freako,5.6, 1.1K,1h 25m,Horror
12 to Midnight,3.6, 284,1h 36m,Horror
Jimmy and Stiggs,6.3, 44,1h 20m,Horror
Freelance,4.8, 341,1h 50m,Horror
Mother Father Sister Brother Frank,5.8, 246,1h 25m,Horror
The Painted,4.7, 355,1h 25m,Horror
The Bunker,6.4, 70,1h 32m,Horror
A Desert,6.3, 164,1h 43m,Horror
Please Don't Feed the Children,5.5, 67,1h 34m,Horror
Butchers Book Three: Bonesaw,5.4, 80,1h 47m,Horror
Z Zone,4.3, 42,1h 23m,Horror
Kryptic,6.3, 98,1h 36m,Horror
Heresy,6.9, 299,1h 1m,Horror
Space Sharks,1.5, 320,1h 10m,Horror
Bone Lake,6.9, 45,1h 34m,Horror
Peripheral,9.4, 23,1h 28m,Horror
Curse of the Sin Eater,4.9, 748,1h 30m,Horror
Camp Pleasant Lake,3.3, 2.4K,1h 30m,Horror
I Heart Willie,6.1, 104,1h 28m,Horror
Director's Cut,7.5, 98,1h 30m,Horror
Dancing Village: The Curse Begins,5.7, 4.2K,2h 2m,Horror
Snakeeater,5.3, 239,1h 20m,Horror
Cocaine Werewolf,2.3, 300,1h 20m,Horror
Killer Influence,2.6, 288,1h 24m,Horror
Spiders on a Plane,5.1, 371,1h 18m,Horror
Wanita Ahli Neraka,5.2, 233,1h 35m,Horror
Devils Stay,4.9, 289,1h 35m,Horror
Horror in the High Desert 3: Firewatch,5.4, 720,1h 28m,Horror
Monster on a Plane,5.2, 2.3K,1h 28m,Horror
Animale,5.9, 295,1h 38m,Horror
The Stalking,3.7, 41,1h 12m,Horror
Destroy All Neighbors,5.3, 2K,1h 25m,Horror
