Name,Rating,Votes,Duration,Genre
Mufasa: The Lion King,6.6, 62K,1h 58m,Family
Flow,7.9, 72K,1h 25m,Family
Moana 2,6.6, 100K,1h 40m,Family
Sonic the Hedgehog 3,6.9, 58K,1h 50m,Family
Paddington in Peru,6.7, 20K,1h 46m,Family
Despicable Me 4,6.2, 65K,1h 34m,Family
Transformers One,7.6, 50K,1h 44m,Family
The Day the Earth Blew Up: A Looney Tunes Movie,7.0, 3.9K,1h 31m,Family
Inside Out 2,7.5, 216K,1h 36m,Family
IF,6.4, 58K,1h 44m,Family
Kung Fu Panda 4,6.3, 68K,1h 34m,Family
Not Just a Goof,7.8, 283,1h 27m,Family
The Garfield Movie,5.7, 24K,1h 41m,Family
Harold and the Purple Crayon,5.7, 8.3K,1h 30m,Family
Spellbound,5.5, 7.3K,1h 49m,Family
My Penguin Friend,6.7, 5.1K,1h 37m,Family
Wallace & Gromit: Vengeance Most Fowl,7.5, 34K,1h 22m,Family
Descendants: The Rise of Red,4.7, 7K,1h 31m,Family
Young Hearts,8.0, 4.7K,1h 39m,Family
How to Make Millions Before Grandma Dies,8.0, 14K,2h 5m,Family
The Forge,6.7, 4.8K,2h 4m,Family
Thelma the Unicorn,5.7, 2.9K,1h 33m,Family
Faith of Angels,5.7, 211,1h 38m,Family
Piece by Piece,6.9, 5.4K,1h 33m,Family
Hitpig,5.1, 927,1h 26m,Family
Megamind vs. The Doom Syndicate,2.5, 5.6K,1h 23m,Family
Orion and the Dark,6.3, 17K,1h 33m,Family
Panda Plan,5.1, 1.3K,1h 39m,Family
Unsung Hero,7.0, 5K,1h 53m,Family
You Gotta Believe,5.8, 1.3K,1h 44m,Family
The Thundermans Return,5.0, 1.8K,1h 10m,Family
Lost on a Mountain in Maine,6.1, 1.2K,1h 38m,Family
Big World,7.3, 1.2K,2h 11m,Family
Ultraman: Rising,6.9, 6.4K,1h 57m,Family
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, 3.9K,1h 22m,Family
Buffalo Kids,6.6, 678,1h 33m,Family
Woody Woodpecker Goes to Camp,4.5, 2.6K,1h 40m,Family
That Christmas,6.8, 17K,1h 31m,Family
Average Joe,4.3, 575,1h 40m,Family
A Carpenter's Prayer,6.0, 83,1h 31m,Family
Chuck Billy and the Marvelous Guava Tree,7.5, 990,1h 30m,Family
Doraemon the Movie: Nobita's Earth Symphony,6.6, 1.5K,1h 55m,Family
Bibi Rajni,8.6, 719,2h 23m,Family
Autumn and the Black Jaguar,5.6, 998,1h 40m,Family
The Tiger's Apprentice,5.7, 2.2K,1h 24m,Family
Dongeng Sang Kancil,6.7, 168,1h 39m,Family
Meiyazhagan,8.4, 14K,2h 57m,Family
Bambi: A Tale of Life in the Woods,5.7, 168,1h 18m,Family
A Sloth Story,5.6, 204,1h 30m,Family
Crayon Shin-chan: Ora's Dinosaur Diary,6.4, 350,1h 46m,Family
Babah,6.9, 160,2h 9m,Family
Runt,6.4, 527,1h 31m,Family
A Brother and 7 Siblings,8.6, 1.2K,2h 9m,Family
